106,229,175,5
38,132,214,2
37,135,230,2
67,154,171,0
67,152,169,0
106,223,182,5
38,139,220,2
2,236,121,3
105,19,235,1
3,188,158,3
105,20,239,1
95,17,231,1
66,149,197,0
7,171,255,4
95,16,231,1
105,198,196,5
3,185,161,3
67,153,152,0
6,172,217,4
106,186,147,5
65,162,153,0
38,131,196,2
2,176,123,3
105,207,144,5
7,179,220,4
38,128,193,2
66,152,181,0
3,188,155,3
105,197,192,5
65,155,188,0
101,19,226,1
67,167,191,0
104,227,182,5
38,142,244,2
38,137,245,2
7,181,218,4
38,131,199,2
38,132,198,2
38,140,200,2
7,188,226,4
106,211,151,5
67,167,156,0
66,163,160,0
67,158,158,0
7,177,255,4
108,18,229,1
105,21,232,1
104,232,178,5
2,234,148,3
101,17,227,1
3,208,148,3
95,15,225,1
7,171,255,4
3,204,120,3
7,182,224,4
2,207,121,3
105,219,149,5
105,221,149,5
3,204,124,3
39,141,200,2
38,140,202,2
6,179,229,4
104,22,187,1
105,24,193,1
39,118,197,2
105,190,149,5
39,124,201,2
105,201,155,5
39,120,196,2
2,165,124,3
95,22,192,1
67,151,184,0
2,216,145,3
109,28,238,1
39,134,246,2
3,195,152,3
105,209,194,5
2,205,152,3
3,200,153,3
39,136,248,2
2,145,129,3
67,137,169,0
2,173,132,3
5,162,238,4
68,143,170,0
2,173,134,3
5,158,239,4
105,180,167,5
5,164,242,4
67,149,199,0
66,153,201,0
66,151,201,0
38,139,255,2
105,24,250,1
6,158,255,4
105,205,206,5
102,23,251,1
2,200,166,3
105,179,158,5
5,161,226,4
5,162,226,4
4,164,244,4
5,164,231,4
68,148,165,0
39,116,205,2
101,24,203,1
5,165,235,4
105,214,197,5
66,153,197,0
67,151,193,0
38,133,252,2
105,207,201,5
109,25,245,1
103,26,245,1
39,136,255,2
105,211,201,5
95,18,195,1
105,19,201,1
38,118,208,2
105,183,161,5
38,123,211,2
104,196,164,5
38,121,210,2
2,166,137,3
95,15,205,1
66,145,199,0
3,208,157,3
111,23,245,1
38,136,255,2
3,189,167,3
105,205,203,5
2,197,168,3
2,195,165,3
37,141,255,2
2,147,129,3
67,134,167,0
2,173,132,3
5,160,237,4
68,146,168,0
2,176,133,3
5,159,239,4
105,181,166,5
5,163,241,4
67,145,200,0
66,153,200,0
66,150,200,0
37,138,255,2
105,26,250,1
6,158,255,4
105,211,208,5
103,26,250,1
2,202,166,3
105,176,155,5
5,160,229,4
5,161,228,4
4,167,245,4
5,166,232,4
68,149,166,0
39,118,205,2
95,17,200,1
5,165,238,4
105,213,195,5
66,152,198,0
67,155,194,0
38,134,252,2
105,206,202,5
109,25,246,1
102,23,243,1
38,140,255,2
105,217,201,5
107,20,236,1
2,219,154,3
37,140,254,2
2,169,164,3
6,163,255,4
105,197,196,5
3,205,154,3
66,153,202,0
7,168,255,4
104,203,166,5
67,152,170,0
2,173,136,3
95,16,205,1
98,18,208,1
5,170,246,4
101,18,210,1
38,139,219,2
104,203,167,5
2,171,157,3
66,160,194,0
104,224,190,5
95,15,228,1
38,138,248,2
101,19,227,1
38,139,239,2
38,140,239,2
38,135,239,2
101,18,197,1
38,126,209,2
67,141,164,0
6,177,234,4
68,156,167,0
2,187,131,3
6,179,237,4
104,212,160,5
5,169,235,4
